species,recording,distance_mm,gain,sigma_s,kernel_delay_s,kernel_r2,attenuation,broadening,cv
Mint,BYB_Recording_2024-02-09_22.29.45,22.43,0.5464625118815585,0.0,0.02,-0.0772804554513653,2.46,14.534,2.396
Mint,BYB_Recording_2024-02-12_19.02.16,35.22,0.1851608520424743,0.4,9.14,0.3329623673187433,0.194,3.328,3.821
Mint,BYB_Recording_2024-02-12_20.19.02,30.82,0.34639835477895004,1.9000000000000001,9.44,0.25348464022775197,0.429,0.53,3.374
Mint,BYB_Recording_2024-02-20_19.07.45,30.92,0.19066256915833915,0.7000000000000001,11.28,0.6678501748950786,0.197,1.419,2.707
Mint,BYB_Recording_2024-02-20_19.11.24,42.25,-1.0677096355992919,1.1,13.04,-0.48990936546836794,2.477,10.608,2.75
Mint,BYB_Recording_2024-02-20_19.19.15,9.54,0.735744892080211,0.4,0.94,0.6976097423230043,0.938,1.208,10.586
Mint,BYB_Recording_2024-02-20_19.22.59,14.08,0.5247903548982332,0.7000000000000001,2.42,0.867851560519125,0.412,1.458,5.925
Mint,BYB_Recording_2024-02-20_19.26.22,11.56,0.30479020444330573,0.6000000000000001,1.92,0.7482905364862062,0.289,1.24,6.483
Mint,BYB_Recording_2024-02-20_19.32.55,16.83,0.29515976572975805,1.5,4.2,0.6453342896403922,0.173,2.046,4.56
Mint,BYB_Recording_2024-02-20_19.38.46,19.74,0.392970176842619,1.4000000000000001,6.88,0.6715379204149001,0.145,7.646,2.67
Ornamental Chile,BYB_Recording_2024-02-07_19.42.39,11.93,0.24202045360223948,0.8,2.26,0.8573002803417704,0.155,2.639,5.62
Ornamental Chile,BYB_Recording_2024-02-07_19.48.46,16.53,1.236071182943983,1.2000000000000002,4.4,0.7012898332196484,0.977,1.776,3.766
Ornamental Chile,BYB_Recording_2024-02-12_19.32.29,27.19,0.7260393439600595,0.6000000000000001,5.74,0.5371526512624034,0.908,1.693,4.749
Ornamental Chile,BYB_Recording_2024-02-19_18.55.40,20.27,0.3371422598144475,0.8,1.92,0.7375854312133266,0.236,2.249,9.854
Ornamental Chile,BYB_Recording_2024-02-19_18.58.46,24.14,0.1415947857331429,1.8,10.68,0.8494920297007974,0.051,2.482,2.311
Ornamental Chile,BYB_Recording_2024-02-19_19.03.24,19.25,0.3834597718931971,0.5,1.42,0.8834554130510444,0.317,1.868,13.772
Ornamental Chile,BYB_Recording_2024-02-19_19.07.47,17.7,0.20631616510798104,0.4,3.18,0.16003827369689394,0.433,1.352,16.948
Ornamental Chile,BYB_Recording_2024-02-19_19.10.37,26.95,0.13504253920010495,1.8,7.32,0.9035296133980142,0.05,2.581,3.843
Ornamental Chile,BYB_Recording_2024-02-19_19.17.58,18.5,0.17716305728707288,0.8,4.78,-0.030733606087121945,0.073,2.202,4.134
Ornamental Chile,BYB_Recording_2024-02-22_17.57.13,26.03,0.4745013663245304,0.4,4.46,0.9142844726905942,0.443,1.246,5.848
Ornamental Chile,BYB_Recording_2024-02-22_18.00.13,19.54,0.21704493801824218,0.6000000000000001,3.26,0.8095317100942387,0.193,1.64,5.935
Ornamental Chile,BYB_Recording_2024-02-23_19.53.15,21.54,-0.7245284104883086,1.9000000000000001,15.0,0.045463746862890675,1.466,1.674,9.149
Ornamental Chile,BYB_Recording_2024-02-23_19.55.48,24.41,0.17442503996166772,3.0,11.0,0.6330207071961451,0.128,8.778,2.552
Ornamental Chile,BYB_Recording_2024-02-23_19.59.02,14.12,0.13964074871832757,0.2,1.8,0.6747618896073264,0.166,0.902,7.959
Ornamental Chile,BYB_Recording_2024-02-23_20.04.22,23.63,0.5241555331167722,2.4000000000000004,13.84,0.6383464805606099,0.175,6.602,1.698
Rosemary,BYB_Recording_2024-02-15_21.13.19,11.72,3.7129226251266525,0.6000000000000001,4.46,0.8106317936620402,3.294,7.39,2.594
Rosemary,BYB_Recording_2024-02-15_21.20.04,26.7,0.12448981496277495,0.2,9.82,0.4264822502614578,0.125,1.032,2.723
Rosemary,BYB_Recording_2024-02-15_21.27.05,7.96,4.538668351540955,2.2,0.0,0.12922974193760373,9.169,5.817,3.366
Rosemary,BYB_Recording_2024-02-19_19.56.50,16.01,1.1567176262565262,0.7000000000000001,3.74,0.9581117255779967,0.862,1.407,4.242
Rosemary,BYB_Recording_2024-02-23_19.35.51,13.19,0.31364760496026906,0.0,0.68,0.4034561528297904,0.408,0.76,19.64
Rosemary,BYB_Recording_2024-02-26_18.50.08,9.44,0.5190697236990535,0.6000000000000001,0.22,0.18219362625217128,0.418,2.205,
Rosemary,BYB_Recording_2024-02-26_19.10.25,9.84,0.43029536885862263,0.7000000000000001,2.26,0.8439879425941987,0.334,1.232,4.241
Rosemary,BYB_Recording_2024-02-29_17.20.55,,0.4332115208425389,0.30000000000000004,0.72,0.9190013016198177,0.433,0.901,
Ruda,BYB_Recording_2024-01-17_20.14.33,14.88,0.39689299129773314,0.0,0.48,0.8977031468405757,0.418,0.75,31.472
Ruda,BYB_Recording_2024-02-05_19.17.48,13.84,0.46383129723609395,1.0,0.38,0.6570387186125286,0.378,2.239,10.016
Ruda,BYB_Recording_2024-02-20_19.48.40,15.21,0.505517942284519,1.0,1.7,0.6323657756541124,0.493,1.214,7.189
Ruda,BYB_Recording_2024-02-20_19.51.32,17.36,0.5112454870428692,1.0,2.1,0.8023285090914074,0.317,1.892,8.639
Ruda,BYB_Recording_2024-02-20_19.54.12,10.78,0.203337269024623,0.30000000000000004,0.96,0.8339886819152635,0.218,0.997,11.123
Ruda,BYB_Recording_2024-02-20_19.57.31,8.15,0.722289125590809,0.2,0.88,0.6523154292866097,0.931,2.343,9.49
Ruda,BYB_Recording_2024-02-22_18.37.41,8.39,0.19169832412144522,0.9,3.0,0.6383128766820696,0.166,1.428,2.665
Ruda,BYB_Recording_2024-02-22_18.44.37,8.99,0.29487658587547594,1.9000000000000001,3.2,0.8998011372411261,0.082,3.414,3.053
Ruda,BYB_Recording_2024-02-23_20.25.25,7.11,0.3602921312568568,0.8,0.28,0.8059695921899277,0.232,1.259,14.51
Ruda,BYB_Recording_2024-02-29_16.58.27,8.96,1.6840117997775406,0.1,0.0,0.3207339806326239,2.209,1.375,
Ruda,BYB_Recording_2024-03-04_19.50.01,9.15,0.5380700946831979,0.9,0.5,0.9023394300963646,0.389,3.776,18.344
Ruda,BYB_Recording_2024-03-04_20.01.12,11.66,0.24242476250217354,2.3000000000000003,4.2,0.8616404489134513,0.054,7.58,2.904
Ruda,BYB_Recording_2024-03-06_21.31.33,10.3,0.47628715362174523,0.30000000000000004,0.66,0.9791589109730068,0.44,1.139,15.841
Ruda,BYB_Recording_2024-03-06_21.44.52,9.32,0.3721173668958265,0.2,0.3,0.79908222450773,0.632,0.321,29.198
Sensitive Mimosa,BYB_Recording_2021-07-26_12.46.45,40.0,4.930511718720636,0.7000000000000001,0.0,0.5902290732514269,6.125,0.682,86.73
Sensitive Mimosa,BYB_Recording_2024-06-27_17.07.10,21.6,0.8128789409722484,0.1,1.0,0.8884881805153014,0.811,1.021,19.722
