species,recording,distance_mm,a,b,tau,delayed_fraction,r2_active,r2_passive,delay_resolved2,cv_2tap
Hierbabuena,BYB_Recording_2024-02-22_17.17.23,8.37,0.2675263180480977,0.207805826919426,-1.4200000000001403,0.4371802519975248,0.45175999303589665,0.42872024183112944,True,5.894366197182515
Hierbabuena,BYB_Recording_2024-02-26_19.52.38,7.5,0.15782552578874173,0.5760491816805001,2.6799999999997723,0.784942137694047,0.612662908700844,0.4904806977253837,True,2.7985074626868047
Hierbabuena,BYB_Recording_2024-02-26_19.59.40,7.35,0.11287541365822201,0.2548073967460434,2.2399999999997817,0.6930087280008655,0.2720328682835572,0.19477941628372752,True,3.2812500000003197
Hierbabuena,BYB_Recording_2024-03-01_17.55.10,8.25,0.08969738486999329,0.34703429314127676,3.439999999999756,0.7946167191753867,0.8650124381277172,0.476894161312423,True,2.3982558139536585
Hierbabuena,BYB_Recording_2024-03-01_18.01.51,10.19,0.05720655082104356,0.2394405375902118,4.65999999999973,0.8071562032601665,0.8839405828628676,0.5651636678134502,True,2.1866952789700838
Hierbabuena,BYB_Recording_2024-03-01_18.08.05,7.8,-0.11354197331755161,0.31320020182814606,0.2999999999998231,0.7339330866962323,0.8310102140760085,0.7448544404914534,True,26.000000000015334
Hierbabuena,BYB_Recording_2024-03-04_20.20.54,8.83,0.04279141181542012,0.08149658281087695,4.099999999999742,0.6557076011719136,0.7041831701516423,0.3861822721293132,True,2.1536585365855014
Hierbabuena,BYB_Recording_2024-03-08_21.04.08,6.56,-0.2044013039068832,2.120906514592512,0.4199999999998205,0.9120970985945462,0.9616163473052385,0.8591472734147079,True,15.619047619054292
Hierbabuena,BYB_Recording_2024-03-08_21.12.27,8.1,0.11578089117290914,0.34232294578627764,2.1199999999997843,0.7472605950182769,0.81667796946413,0.9089768601862597,True,3.820754716981521
Hierbabuena,BYB_Recording_2024-03-08_21.18.08,7.32,-0.036739849707074966,0.43763856466174567,1.2599999999998026,0.9225515989045185,0.7442895773348563,0.874438909729135,True,5.80952380952472
Hierbabuena,BYB_Recording_2024-03-08_21.22.04,6.62,0.1614108472865233,0.533968027098261,0.39999999999982094,0.7678807147695899,0.9945465604371535,0.9571630002306872,True,16.550000000007408
Hierbabuena,BYB_Recording_2024-03-08_21.24.53,6.41,0.034762192034423316,0.3762186776750879,0.3599999999998218,0.9154165203382973,0.9925580714265491,0.9668401781279303,True,17.80555555556437
Hierbabuena,BYB_Recording_2024-03-08_21.27.40,5.72,0.10812538867750049,0.36240106297917013,0.9999999999998082,0.770203379009186,0.9597764650561105,0.9373029436256116,True,5.7200000000010975
Marijuana,BYB_Recording_2025-08-23_22.07.27-28.8mm,27.8,0.019955177615561873,1.3992411710467847,2.6599999999997728,0.9859391002278363,0.9245295276354708,0.5841215110992017,True,10.451127819549765
Marijuana,BYB_Recording_2025-08-23_22.55.19-22mm,22.0,0.2985584409565645,1.5888408498733098,1.619999999999795,0.8418149024389584,0.6353362166702767,0.5966372177620397,True,13.580246913581966
Marijuana,BYB_Recording_2025-08-23_23.19.28-21mm,21.0,0.14513307353520427,0.8457658011069349,5.239999999999718,0.8535339203128889,0.8781142897784887,0.530525840648117,True,4.007633587786476
Marijuana,BYB_Recording_2025-08-23_23.30.42-22mm,22.0,0.020033625535632586,0.5411988983701397,2.8999999999997677,0.9643042327693109,0.6642210652966914,0.4324592790520373,True,7.586206896552332
Marijuana,BYB_Recording_2025-08-23_23.44.45-26mm,26.0,-0.019218865587955547,0.4620417524289977,2.939999999999767,0.9600655759718146,0.6828623789772963,0.5414857351888039,True,8.843537414966688
Marijuana,BYB_Recording_2025-09-13_01.03.00-23.11mm,23.1,0.2248428947146784,0.48093355466043886,7.999999999999659,0.6814247699625702,0.35221627009682177,0.06237366265333666,True,2.887500000000123
Marijuana,BYB_Recording_2025-09-13_01.21.52-16.78mm,16.8,0.011296019093543185,0.6921480285680703,5.959999999999702,0.9839418371210996,0.7407285890120908,0.46813545454186534,True,2.8187919463088655
Marijuana,BYB_Recording_2025-09-13_01.45.23-24.26mm,24.3,-0.29479439402251173,0.9042472236949318,1.2999999999998018,0.7541416497421521,0.8547269266134193,0.7654720357782044,True,18.692307692310543
Marijuana,BYB_Recording_2025-09-15_00.20.12-21.09mm,21.1,0.0948362240059366,0.800596101577192,1.5599999999997962,0.8940888984053855,0.7318787612156494,0.6661290583057595,True,13.525641025642793
