species,latin,recording,duration_s,fs,n_channels,distance_mm,stim_start_s,stim_stop_s,n_markers,near_channel,far_channel,peak_delay_s,onset_delay_s,xcorr_delay_s,xcorr_corr,cv_peak_mm_s,cv_xcorr_mm_s,cm_baseline_r,event_zero_lag_r,r0_over_rpk,delay_resolved,near_peak_amp,far_peak_amp,attenuation_far_near,near_fwhm_s,far_fwhm_s,broadening_far_near,near_rise_s,far_rise_s,rise_ratio_far_near,near_snr,far_snr,valid,flags,distance_mm_d,sheet_delay_s,cv_manual,tau_2tap,cv_2tap
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-03-08_21.04.08,31.4,5000.0,2,6.56,4.2462,19.6992,2,1,0,0.5,0.488,0.44,0.985,13.11,14.902,0.918,0.845,0.858,True,3608.0,8079.2,2.239,1.7,1.367,0.804,0.527,0.54,1.024,156.2,212.4,True,common_mode_high,6.56,0.521,12.591170825335892,0.4199999999998205,15.619047619054292
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-03-08_21.06.56,30.03,5000.0,2,5.59,4.9094,12.0834,2,0,1,0.12,0.325,0.187,0.99,,,0.129,0.959,0.969,False,7398.7,4671.7,0.631,1.67,1.302,0.78,0.708,0.503,0.711,352.4,209.0,False,delay_unresolved;near_synchronous,5.59,0.13,43.0,,
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-03-08_21.12.27,25.51,5000.0,2,8.1,4.8726,15.7114,2,0,1,2.315,0.515,2.041,0.844,3.498,3.969,0.176,0.314,0.372,True,13043.0,3704.8,0.284,0.746,1.902,2.55,0.446,2.246,5.039,721.9,369.0,True,,8.1,2.341,3.460059803502776,2.1199999999997843,3.820754716981521
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-03-08_21.18.08,41.03,5000.0,2,7.32,4.3252,12.5072,2,0,1,0.774,2.178,1.312,0.856,9.455,5.578,0.946,0.314,0.367,True,4820.6,2138.0,0.444,1.605,1.829,1.139,2.549,1.145,0.449,114.4,72.1,True,common_mode_high,7.32,0.801,9.138576779026216,1.2599999999998026,5.80952380952472
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-03-08_21.22.04,33.13,5000.0,2,6.62,5.1244,11.199,2,0,1,0.418,0.238,0.323,0.993,15.852,20.508,-0.34,0.887,0.894,True,8745.8,5635.2,0.644,1.186,1.245,1.05,0.436,0.616,1.412,323.2,471.1,True,,6.62,0.468,14.145299145299145,0.3999999999998209,16.550000000007408
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-03-08_21.24.53,31.29,5000.0,2,6.41,5.203,17.316,2,0,1,0.327,0.319,0.332,0.994,19.578,19.307,0.847,0.898,0.903,True,10804.7,3975.6,0.368,1.432,1.669,1.165,0.564,0.573,1.015,425.5,132.3,True,common_mode_high,6.41,0.348,18.419540229885058,0.3599999999998218,17.80555555556437
Hierbabuena,Clinopodium douglasii,BYB_Recording_2024-03-08_21.27.40,37.08,5000.0,2,5.72,5.6374,13.26,2,0,1,0.688,0.08,0.827,0.97,8.319,6.917,0.05,0.796,0.82,True,8956.4,3803.7,0.425,1.901,1.739,0.914,1.073,1.68,1.567,470.5,247.4,True,,5.72,0.718,7.9665738161559885,0.9999999999998082,5.7200000000010975
Marijuana,Cannabis sativa,BYB_Recording_2025-08-23_22.07.27-28.8mm,58.53,5000.0,2,27.8,11.4578,19.8784,2,1,0,2.749,2.627,2.663,0.954,10.114,10.439,0.2,0.077,0.081,True,2712.7,4126.8,1.521,1.526,1.417,0.929,0.718,0.84,1.17,90.5,297.1,True,,27.8,2.72,10.220588235294118,2.6599999999997728,10.451127819549765
Marijuana,Cannabis sativa,BYB_Recording_2025-08-23_22.55.19-22mm,25.0,5000.0,2,22.0,5.9608,12.7882,2,0,1,1.507,1.524,1.593,0.812,14.595,13.81,0.643,0.082,0.101,True,1713.8,3331.2,1.944,1.202,1.423,1.184,0.834,0.818,0.98,21.0,76.6,True,common_mode_high,22.0,1.679,13.103037522334724,1.619999999999795,13.580246913581966
Marijuana,Cannabis sativa,BYB_Recording_2025-08-23_23.19.28-21mm,35.28,5000.0,2,21.0,7.2572,13.8522,2,0,1,4.961,4.493,5.196,0.887,4.233,4.042,0.86,-0.014,0.016,True,2220.1,1628.2,0.733,2.829,4.427,1.565,2.074,2.542,1.226,172.7,54.0,True,common_mode_high,21.0,4.97,4.225352112676057,5.239999999999718,4.007633587786476
