species,recording,base_r,event_r,r0,rpk,r0_over_rpk,lagpk
Marijuana,BYB_Recording_2025-09-13_01.03.00-23.11mm,0.8418340387897031,0.1091761450000759,0.10917614500007586,0.8043707586433342,0.13572863487008685,10.9852
Marijuana,BYB_Recording_2025-09-13_01.21.52-16.78mm,0.5308536082363636,-0.1932992986881209,-0.19329929868812096,0.8226135262226227,-0.2349819113426645,5.8966
Marijuana,BYB_Recording_2025-09-13_01.45.23-24.26mm,0.49008759145826786,0.36363644488638697,0.36363644488638697,0.8684327645772365,0.4187272287721774,1.3758
Marijuana,BYB_Recording_2025-09-13_01.52.20-21.60mm,-0.22381809576109774,0.5903150320445417,0.5903150320445418,0.6350169771876821,0.9296051180535155,-0.4714
Marijuana,BYB_Recording_2025-09-15_00.20.12-21.09mm,0.38154215613357245,0.4870413055269287,0.4870413055269287,0.8839729114772928,0.5509685864841568,1.4444
Marijuana,BYB_Recording_2025-09-15_00.27.51-21.09mm,0.6348686132693594,-0.13056162238477165,-0.13056162238477173,0.7626043989678395,-0.1712049164173229,4.6322
Marijuana,BYB_Recording_2025-09-15_00.38.35-16.49mm,0.5606785906572652,-0.2654145145446239,-0.26541451454462384,0.7964469630189511,-0.3332481971411678,8.093
Marijuana,BYB_Recording_2025-09-15_00.47.20-16.06mm,0.9968925726643881,0.11335707220017036,0.1133570722001704,0.7843174075703506,0.1445295885390669,5.4228
Mint,BYB_Recording_2023-12-19_18.14.10,0.5858933280405454,0.08178123263453489,0.08178123263453498,0.6466479834835379,0.12646947755713048,2.9928
Mint,BYB_Recording_2024-01-26_19.52.38,0.05714591644816543,-0.2219595087171917,-0.22195950871719172,0.7102355016776352,-0.3125153673575947,4.4984
Mint,BYB_Recording_2024-01-26_20.00.04,0.7532257920232256,-0.0011484542887002808,-0.001148454288700271,0.5591826295086527,-0.002053808949161036,4.3982
Mint,BYB_Recording_2024-01-26_20.08.19,0.8645604212229727,-0.034053046174404696,-0.03405304617440463,0.447540533105793,-0.07608930064521087,9.094
Mint,BYB_Recording_2024-02-09_22.29.45,0.7163063816903178,0.041978489175846755,0.041978489175846775,0.7288984661242963,0.05759168269217944,9.3604
Mint,BYB_Recording_2024-02-12_19.02.16,0.7401050389109719,-0.022312606796151966,-0.02231260679615193,0.5733660352271164,-0.03891511778738981,9.2178
Mint,BYB_Recording_2024-02-12_20.19.02,-0.11575529146821294,0.24415996516120092,0.24415996516120092,0.48188639022433416,0.5066753701998853,9.1346
Mint,BYB_Recording_2024-02-20_19.07.45,0.7962745999657272,-0.10520572320967536,-0.10520572320967536,0.7515161277189841,-0.13999130468297166,11.422
Mint,BYB_Recording_2024-02-20_19.11.24,-0.16511619430350075,-0.07378310723215377,-0.07378310723215381,0.5422623193716402,-0.13606534069645815,15.0
Mint,BYB_Recording_2024-02-20_19.19.15,-0.3886401082890863,0.4473276654015132,0.4473276654015131,0.8264536824510607,0.5412616277234654,0.9012
Mint,BYB_Recording_2024-02-20_19.22.59,0.9607995643098302,0.04951446623665224,0.04951446623665219,0.8932960986482213,0.055428951622625316,2.3764
Mint,BYB_Recording_2024-02-20_19.26.22,-0.3941378217141093,0.12652478787702237,0.12652478787702234,0.8317086577511756,0.15212633257795793,1.7832
Mint,BYB_Recording_2024-02-20_19.32.55,-0.3916794168493101,-0.06974284269700609,-0.06974284269700601,0.7855141401242899,-0.08878623456220759,3.6906
Mint,BYB_Recording_2024-02-20_19.38.46,0.7473961346505746,-0.007429126130463701,-0.007429126130463677,0.5553950180079235,-0.013376292349741045,7.3936
Ornamental Chile,BYB_Recording_2024-02-07_19.42.39,0.8763917269117947,0.33557340224822585,0.335573402248226,0.8771899954950882,0.38255498121456294,2.1228
Ornamental Chile,BYB_Recording_2024-02-07_19.48.46,-0.8097265555587474,-0.0065772758556396456,-0.006577275855639653,0.6913652954947519,-0.009513459669584444,4.3892
Ornamental Chile,BYB_Recording_2024-02-12_19.32.29,-0.03246848803220407,0.5708485571132974,0.5708485571132972,0.6484581982040161,0.8803166629619793,5.7254
Ornamental Chile,BYB_Recording_2024-02-19_18.55.40,0.1477669733281433,0.4463148310095959,0.4463148310095958,0.8036299815760233,0.5553735440958961,2.057
Ornamental Chile,BYB_Recording_2024-02-19_18.58.46,0.312793948945762,-0.10418873185418975,-0.1041887318541897,0.6624979341873546,-0.15726650073557075,10.444
Ornamental Chile,BYB_Recording_2024-02-19_19.03.24,0.9565555496992517,0.5106204196514682,0.5106204196514682,0.899384021515612,0.5677445978982233,1.3978
Ornamental Chile,BYB_Recording_2024-02-19_19.07.47,0.41281351357767987,0.19749554128018637,0.19749554128018648,0.40416635850254934,0.4886491345096471,-1.0444
Ornamental Chile,BYB_Recording_2024-02-19_19.10.37,0.9416215482978236,-0.042228148636447374,-0.04222814863644738,0.7724227165620035,-0.054669739419888834,7.0122
Ornamental Chile,BYB_Recording_2024-02-19_19.17.58,0.9423324694089937,-0.10344343945754887,-0.10344343945754877,0.5927905334205177,-0.1745025158560813,4.475
