species,recording,duration_s,potential_type,sigma,passive_gap,r2_active,r2_passive,cv_xcorr_mm_s,attenuation_far_near,broadening_far_near,xcorr_corr,peak_delay_s,valid
Ruda,BYB_Recording_2024-02-20_19.48.40,3.04,VP-like,1.6567796610169492,0.0637077095898004,0.0806264945878098,0.1443342041776102,7.189,0.493,1.214,0.677,2.526,True
Ruda,BYB_Recording_2024-02-20_19.51.32,5.805,VP-like,0.9872881355932204,0.2387480807949449,0.5295647599114093,0.7683128407063542,8.639,0.317,1.892,0.863,2.299,True
Ruda,BYB_Recording_2024-02-20_19.54.12,6.875,VP-like,0.5855932203389831,0.0381303146998172,0.4500211617945229,0.4881514764943401,11.123,0.218,0.997,0.91,1.23,True
Ruda,BYB_Recording_2024-02-20_19.57.31,0.685,AP-like,0.4516949152542373,0.142390662300669,0.5253062087992437,0.6676968710999127,9.49,0.931,2.343,0.793,1.002,True
Ruda,BYB_Recording_2024-02-22_18.37.41,1.29,AP-like,1.121186440677966,0.1874413003636413,0.1929415320160904,0.3803828323797318,2.665,0.166,1.428,0.805,4.166,True
Ruda,BYB_Recording_2024-02-22_18.44.37,0.91,AP-like,1.3220338983050848,0.0396782705108094,0.0428748122163558,0.0825530827271652,3.053,0.082,3.414,0.562,2.014,True
Ruda,BYB_Recording_2024-02-23_20.25.25,1.195,AP-like,0.4516949152542373,0.0539253410860617,0.6069018955180792,0.6608272366041409,14.51,0.232,1.259,0.847,0.716,True
Ruda,BYB_Recording_2024-02-29_16.58.27,5.45,VP-like,0.1169491525423728,0.0045301269076803,0.6308973994480125,0.6354275263556929,,2.209,1.375,0.758,4.921,True
Ruda,BYB_Recording_2024-03-04_19.50.01,1.275,AP-like,0.1838983050847457,0.0115912413187421,0.7925966644426495,0.8041879057613917,18.344,0.389,3.776,0.922,0.652,True
Ruda,BYB_Recording_2024-03-04_20.01.12,0.75,AP-like,2.12542372881356,0.1052163633768387,0.1864582535341939,0.2916746169110327,2.904,0.054,7.58,0.611,4.039,True
Ruda,BYB_Recording_2024-03-06_21.31.33,1.14,AP-like,0.2508474576271186,0.0240038128967652,0.9355491736487636,0.9595529865455288,15.841,0.44,1.139,0.978,0.838,True
Ruda,BYB_Recording_2024-03-06_21.44.52,4.62,VP-like,0.3847457627118644,0.1703295601869562,0.6660161031416983,0.8363456633286546,29.198,0.632,0.321,0.883,1.209,True
Sensitive Mimosa,BYB_Recording_2021-07-26_12.46.45,0.115,AP-like,0.3847457627118644,0.0503879047987184,0.320440137112095,0.3708280419108135,86.73,6.125,0.682,0.89,0.461,True
Sensitive Mimosa,BYB_Recording_2024-06-27_17.07.10,0.745,AP-like,0.1838983050847457,0.0293429406030718,0.8785803491020341,0.907923289705106,19.722,0.811,1.021,0.937,1.095,True
Sensitive Mimosa,BYB_Recording_2024-06-27_17.25.17,0.92,AP-like,0.1838983050847457,0.0157010031830897,0.8313546826780212,0.8470556858611109,11.256,0.231,0.98,0.939,1.315,True
Sensitive Mimosa,BYB_Recording_2024-06-27_17.42.19,0.765,AP-like,0.2508474576271186,0.0614380812070634,0.7939103478522895,0.8553484290593529,11.18,0.455,0.889,0.926,1.422,True
Sensitive Mimosa,BYB_Recording_2024-06-27_18.31.29,2.005,VP-like,0.05,0.0017638303362298,0.6399501725252685,0.6417140028614984,10.725,0.194,0.896,0.856,1.22,True
Sensitive Mimosa,BYB_Recording_2024-06-27_18.48.14,12.645,VP-like,0.1169491525423728,0.0193970610773411,0.504941403423494,0.5243384645008352,33.101,0.07,1.767,0.717,0.287,True
Sensitive Mimosa,BYB_Recording_2024-06-27_19.01.26,0.775,AP-like,0.05,0.0012442738633271,0.7258546243288242,0.7270988981921513,15.536,3.529,0.91,0.901,1.01,True
Sensitive Mimosa,BYB_Recording_2024-06-27_19.15.52,0.42,AP-like,0.1838983050847457,0.1069421861370515,0.7960453207484862,0.9029875068855376,22.268,4.607,1.429,0.933,0.633,True
Sensitive Mimosa,BYB_Recording_2024-06-27_19.57.29,0.735,AP-like,0.0,0.0,0.9441607737373966,0.9441607737373966,32.319,4.549,0.926,0.968,0.48,True
Sensitive Mimosa,BYB_Recording_2024-07-08_16.06.58,0.635,AP-like,0.3177966101694915,0.050134002475059,0.8372124037865378,0.8873464062615969,,0.825,2.097,0.832,1.463,True
Sensitive Mimosa,BYB_Recording_2024-07-08_17.02.56,1.035,AP-like,0.2508474576271186,0.0184484585154605,0.889999017606403,0.9084474761218636,7.424,1.318,1.118,0.965,2.051,True
Sensitive Mimosa,BYB_Recording_2024-07-10_12.31.11,18.27383324347765,VP-like,0.05,0.0015351255191643,0.4304779908172663,0.4320131163364307,,1.952,1.868,0.597,2.384,True
Sensitive Mimosa,BYB_Recording_2024-07-10_12.56.35,0.718970488267973,AP-like,0.1169491525423728,0.0020503355469838,0.2429617666793315,0.2450121022263154,1.091,2.27,1.819,0.465,13.024,True
Sensitive Mimosa,BYB_Recording_2024-07-11_11.28.52,0.6241063266215044,AP-like,0.0,0.0,0.8606988758204401,0.8606988758204401,10.536,0.985,0.789,0.949,1.71,True
Sensitive Mimosa,BYB_Recording_2024-07-11_11.50.12,0.9236773633998264,AP-like,0.0,0.0,0.7906012053794625,0.7906012053794625,14.289,1.372,0.775,0.939,0.869,True
Sensitive Mimosa,BYB_Recording_2024-07-11_12.37.51,0.6390848784604205,AP-like,0.05,0.001650686004131,0.8285143727421483,0.8301650587462794,14.354,1.028,1.034,0.928,0.915,True
Sensitive Mimosa,BYB_Recording_2024-07-11_13.14.26,26.706757928787415,VP-like,0.2508474576271186,0.023427903616076,0.2493691123424427,0.2727970159585188,7.94,1.014,1.343,0.59,1.839,True
Tomato,BYB_Recording_2024-02-03_21.26.23,3.215,VP-like,0.2508474576271186,0.068642498062951,0.7172165407125847,0.7858590387755358,,0.806,0.832,0.816,0.328,True
Tomato,BYB_Recording_2024-02-03_21.30.34,3.19,VP-like,0.0,0.0,0.3930643885686008,0.3930643885686008,16.628,0.309,1.021,0.741,0.681,True
Tomato,BYB_Recording_2024-02-06_19.19.43,6.04,VP-like,0.05,0.0007124234732794,0.4039841271784972,0.4046965506517767,8.43,0.928,1.025,0.679,1.196,True
Tomato,BYB_Recording_2024-02-06_20.01.08,0.515,AP-like,0.0,0.0,0.4001697360908849,0.4001697360908849,13.776,0.249,1.582,0.554,0.838,True
Tomato,BYB_Recording_2024-02-12_20.26.05,0.855,AP-like,1.0542372881355933,0.3434336102105594,0.3388928578269589,0.6823264680375183,1.661,0.439,2.387,0.733,4.982,True
Tomato,BYB_Recording_2024-02-19_18.44.04,3.105,VP-like,0.3847457627118644,0.0713407566728562,0.4190760947831495,0.4904168514560058,6.237,1.211,1.016,0.706,1.767,True
Tomato,BYB_Recording_2024-06-26_23.32.41,0.77,AP-like,0.5855932203389831,0.1218102111621373,0.70963492330288,0.8314451344650173,,0.228,1.575,0.877,2.23,True
Tomato,BYB_Recording_2024-06-26_23.54.25,5.485,VP-like,0.9872881355932204,0.0890100058775598,0.0984239157691114,0.1874339216466712,,1.143,3.066,0.589,2.329,True
Tomato,BYB_Recording_2024-06-27_00.22.45,5.085,VP-like,0.652542372881356,0.2599515921552471,0.2813001160411099,0.541251708196357,,2.83,2.729,0.754,1.463,True
