species,recording,norm,r2_active,r2_passive,sigma,gain_active,gain_passive,tau,bic_active,bic_passive,passive_gap,winner
Chilean Chile,BYB_Recording_2024-02-23_20.12.50,raw,0.06628444496789265,0.06628444496789265,0.0,1.0,1.0,0.0084,60120.88831407207,60129.49131791991,0.0,active
Chilean Chile,BYB_Recording_2024-02-23_20.16.53,norm,0.12404381836604361,0.30485400814703634,1.5898305084745763,0.23425001250539032,2.118041593842039,3.4692,-15821.444389436063,-16787.581474316066,0.18081018978099272,passive
Chilean Chile,BYB_Recording_2024-02-23_20.16.53,raw,-0.6969799689350877,0.2566928895325423,0.9872881355932204,1.0,1.0,3.4692,41505.63799845645,38034.518073798434,0.9536728584676301,passive
Chilean Chile,BYB_Recording_2024-02-23_20.20.33,norm,0.108107798882779,0.12689032766241892,0.4516949152542373,0.12907554449584804,0.21479851240092707,0.0084,-24034.461769309415,-24111.514462187537,0.01878252877963993,passive
Chilean Chile,BYB_Recording_2024-02-23_20.20.33,raw,-15.148675808515573,0.0488551452308591,2.1254237288135593,1.0,1.0,-3.528,34899.61485897249,31929.540185100774,15.197530953746433,passive
Chilean Chile,BYB_Recording_2024-02-26_20.31.22,norm,0.7233373502413146,0.8210839493120143,0.4516949152542373,1.1042587744811048,1.74370850658317,1.2852,-16784.19614702605,-18450.166142384573,0.09774659907069971,passive
Chilean Chile,BYB_Recording_2024-02-26_20.31.22,raw,-0.6224568054669479,0.7375764590310534,0.652542372881356,1.0,1.0,1.2852,39379.17636526755,32390.137810018125,1.3600332644980013,passive
Chilean Chile,BYB_Recording_2024-02-26_20.34.43,norm,0.3077977454661992,0.31844918647238574,0.18389830508474575,0.4511646369044638,0.49854319855031193,1.6212,-12477.63583880603,-12527.604719862456,0.010651441006186535,passive
Chilean Chile,BYB_Recording_2024-02-26_20.34.43,raw,-7.995881052897596,0.13455929463882066,1.790677966101695,1.0,1.0,1.6296,35380.42565508824,32246.781457926787,8.130440347536418,passive
Chilean Chile,BYB_Recording_2024-03-11_20.19.30,norm,0.44791377724642867,0.45293118796829057,0.11694915254237288,0.7976861090611503,0.8240129603244839,1.9824,-18243.454304966683,-18274.932716120697,0.0050174107218619035,passive
Chilean Chile,BYB_Recording_2024-03-11_20.19.30,raw,-61.10558125317163,0.22078085567603178,2.192372881355932,1.0,1.0,1.9824,32904.8591335147,28799.988418116638,61.32636210884766,passive
Chilean Chile,BYB_Recording_2024-03-11_20.24.33,norm,0.8938412283635911,0.8979784992916734,0.3177966101694915,0.993700175517426,1.1049090226532845,1.2684,-20672.018138273586,-20826.486025800034,0.004137270928082248,passive
Chilean Chile,BYB_Recording_2024-03-11_20.24.33,raw,-8.643459531718111,0.6102193630437562,1.4559322033898305,1.0,1.0,1.2684,39904.91319485783,33218.65009381287,9.253678894761867,passive
Chilean Chile,BYB_Recording_2024-03-11_20.27.38,norm,0.8942984533160152,0.9223441043091738,0.25084745762711863,1.1359299172715487,1.3634452350112072,0.48719999999999997,-23839.44800975289,-25067.871075875053,0.02804565099315859,passive
Chilean Chile,BYB_Recording_2024-03-11_20.27.38,raw,0.7863093703431966,0.9084712388128469,0.25084745762711863,1.0,1.0,0.48719999999999997,37318.19517682202,33925.661094264775,0.12216186846965027,passive
Chilean Chile,BYB_Recording_2024-03-11_20.31.48,norm,0.4040962955987134,0.5332727182598895,0.8533898305084746,0.670140714097289,2.1373512533151295,2.4863999999999997,-15072.508234958748,-16080.848399515953,0.12917642266117613,passive
Chilean Chile,BYB_Recording_2024-03-11_20.31.48,raw,0.29160968067679116,0.4847858886241243,0.5186440677966102,1.0,1.0,2.4863999999999997,44136.45289160879,42819.87125849837,0.19317620794733315,passive
Chilean Chile,BYB_Recording_2024-03-11_20.34.42,norm,0.8054647362708514,0.8769044521014002,0.3847457627118644,1.022897983618554,1.523245661646265,1.1508,-18664.979716726128,-20344.589611178835,0.07143971583054887,passive
Chilean Chile,BYB_Recording_2024-03-11_20.34.42,raw,0.6599573357974083,0.8752787879893448,0.3847457627118644,1.0,1.0,1.1508,40540.161630043855,36849.346795944875,0.21532145219193644,passive
Creeping Inchplant,BYB_Recording_2024-02-05_19.37.45,norm,0.2001610153440634,0.236883779468114,0.11694915254237288,0.29704284824038363,0.3796396294342798,3.8975999999999997,-26411.186713077626,-26658.546610429454,0.03672276412405062,passive
Creeping Inchplant,BYB_Recording_2024-02-05_19.37.45,raw,-2.9124534197845318,0.1153663691758241,1.3889830508474577,1.0,1.0,3.8975999999999997,51419.9192473919,46988.7861024472,3.0278197889603558,passive
Creeping Inchplant,BYB_Recording_2024-02-07_19.05.17,norm,0.1973717792223323,0.25212247864851156,1.255084745762712,0.19853735988246451,0.9757857368512158,1.6212,-16743.9362302545,-16981.933241066854,0.05475069942617927,passive
Creeping Inchplant,BYB_Recording_2024-02-07_19.05.17,raw,-6.031600464544199,0.24718200575220428,1.4559322033898305,1.0,1.0,1.6296,35261.43404629997,31867.189292153183,6.278782470296403,passive
Creeping Inchplant,BYB_Recording_2024-02-19_19.26.20,norm,0.10978356798937305,0.18762140183772658,0.18389830508474575,0.5604094136094255,1.0270234240232794,4.62,-18531.90394330163,-18927.5666949242,0.07783783384835352,passive
Creeping Inchplant,BYB_Recording_2024-02-19_19.26.20,raw,0.02538136785706857,0.02557417426055708,0.05,1.0,1.0,4.6116,58498.389002855176,58505.90829961675,0.0001928064034885102,active
Creeping Inchplant,BYB_Recording_2024-02-20_20.02.17,norm,0.5587839075283931,0.5587839075283931,0.0,0.5753550841180869,0.5753550841180869,0.0,-30022.51958832848,-30014.023006090967,0.0,active
Creeping Inchplant,BYB_Recording_2024-02-20_20.02.17,raw,-0.7583663329100456,0.18971328107523544,0.8533898305084746,1.0,1.0,0.0,34464.03332784401,30677.793252348558,0.9480796139852811,passive
Creeping Inchplant,BYB_Recording_2024-02-20_20.07.25,norm,0.045525756438676734,0.14962226974255866,0.7864406779661017,0.4189444228685833,2.4541967164744425,5.4852,-14171.26231675731,-14615.900595326773,0.10409651330388192,passive
Creeping Inchplant,BYB_Recording_2024-02-20_20.07.25,raw,0.04404786749317802,0.052513931159607674,0.11694915254237288,1.0,1.0,5.4852,36448.79076365975,36422.1765483629,0.008466063666429657,passive
Creeping Inchplant,BYB_Recording_2024-02-20_20.10.44,norm,0.21787510476146943,0.21787510476146943,0.0,0.37907763711263504,0.37907763711263504,0.0,-24817.50517332328,-24809.145335942638,0.0,active
Creeping Inchplant,BYB_Recording_2024-02-20_20.10.44,raw,-0.9876865688271668,0.004810403689933573,3.464406779661017,1.0,1.0,0.0,30073.153063488873,27126.17130310708,0.9924969725171003,passive
Creeping Inchplant,BYB_Recording_2024-02-26_20.12.11,norm,0.2642686866609977,0.2642686866609977,0.0,0.23116365413988654,0.23116365413988654,0.0,-28307.039381975144,-28298.554505385207,0.0,active
Creeping Inchplant,BYB_Recording_2024-02-26_20.12.11,raw,-10.654513579332312,0.03472761485398168,2.5940677966101693,1.0,1.0,0.0,39541.29693567973,36025.57249868309,10.689241194186293,passive
Creeping Inchplant,BYB_Recording_2024-02-28_18.46.50,norm,0.20616119264923738,0.2964852932444235,0.3177966101694915,0.811207399106646,1.520501909489834,3.654,-18608.422963419718,-19131.396280613557,0.09032410059518614,passive
